col_name	data_type	comment
order_billing_amount	double              	                    
order_item_replace_adjustment	double              	                    
order_item_unit_discount	double              	                    
order_item_unit_approve_verification_cdays	int                 	                    
order_item_unit_quantity	int                 	                    
order_item_unit_approve_verification_time	double              	                    
order_item_promotion_credit	double              	                    
order_item_unit_approve_delivery_bdays	int                 	                    
order_item_shipping_discount	double              	                    
order_item_unit_final_sales_amount	double              	                    
order_item_dummy_value	double              	                    
order_item_unit_approve_confirm_time	double              	                    
order_item_unit_approve_verification_bdays	int                 	                    
order_item_unit_approve_delivery_time	double              	                    
order_item_octroi_fee	double              	                    
order_original_billing_amount	double              	                    
order_item_binding_fee	double              	                    
order_item_cashback_amount	double              	                    
order_item_list_price	double              	                    
order_item_quantity 	int                 	                    
order_item_unit_approve_dispatch_cdays	int                 	                    
order_item_shipping_charges	double              	                    
order_item_unit_approve_rts_bdays	int                 	                    
order_item_unit_approve_cancel_bdays	int                 	                    
order_item_selling_price	double              	                    
order_item_promotion_discount	double              	                    
order_item_bundle_discount	double              	                    
order_item_unit_approve_rts_cdays	int                 	                    
order_item_unit_breach_delivery_bdays	int                 	                    
order_item_sourcing_fee	double              	                    
order_item_pickup_charge	double              	                    
order_item_unit_approve_ship_time	double              	                    
order_item_unit_approve_cancel_cdays	int                 	                    
order_item_unit_approve_ship_bdays	int                 	                    
order_item_unit_approve_delivery_cdays	int                 	                    
order_item_bank_offer_amount	double              	                    
order_item_exchange_discount	double              	                    
order_item_cod_charges	double              	                    
order_item_unit_approve_ship_cdays	int                 	                    
order_item_offers_snapshot_effective_price_change	double              	                    
order_adjustment_amount	double              	                    
order_item_freebie_discount	double              	                    
order_item_unit_approve_dispatch_bdays	int                 	                    
order_item_unit_approve_confirm_bdays	int                 	                    
order_item_unit_breach_delivery_cdays	int                 	                    
order_item_adjustment_amount	double              	                    
order_item_price_change	double              	                    
order_item_unit_breach_delivery_time	double              	                    
order_item_fee      	double              	                    
order_item_unit_approve_rts_time	double              	                    
order_item_unit_approve_confirm_cdays	double              	                    
call_verification_item_quantity	int                 	                    
order_item_unit_approve_dispatch_time	double              	                    
order_item_unit_approve_cancel_time	double              	                    
order_item_is_gift  	int                 	                    
order_item_is_exchange	int                 	                    
order_item_id       	bigint              	                    
order_external_id   	string              	                    
order_item_is_replacement	int                 	                    
order_tenant_id     	string              	                    
order_sub_channel   	string              	                    
order_item_is_call_verified	int                 	                    
order_item_is_inventory	int                 	                    
order_token_id      	string              	                    
call_verification_comments	string              	                    
order_item_unit_promise_breach	string              	                    
order_item_sales_reporting_date_time	timestamp           	                    
order_item_ship_group_id	string              	                    
order_sales_channel 	string              	                    
order_item_sub_type 	string              	                    
order_item_unit_status	string              	                    
order_item_unit_shipment_id	string              	                    
call_verification_type	string              	                    
order_item_category_id	int                 	                    
order_terminal_id   	string              	                    
order_item_is_pre_order	int                 	                    
order_user_ip       	string              	                    
order_item_is_freebie	int                 	                    
order_item_is_back_order	int                 	                    
order_item_unit_tracking_id	string              	                    
order_item_status   	string              	                    
order_item_approve_date_time	timestamp           	                    
order_id            	bigint              	                    
order_created_by    	string              	                    
order_item_type     	string              	                    
order_item_po_item_id	string              	                    
order_user_agent    	string              	                    
order_item_unit_is_promised_date_updated	int                 	                    
order_item_offers_snapshot_offer_type	string              	                    
order_item_title    	string              	                    
order_item_sub_status	string              	                    
order_item_unit_dispatch_date_time	timestamp           	                    
order_item_unit_is_on_hold	int                 	                    
order_item_unit_id  	bigint              	                    
order_item_offers_snapshot_external_id	string              	                    
order_status        	string              	                    
order_item_unit_sla 	int                 	                    
call_verification_reason	string              	                    
order_item_unit_is_rto	int                 	                    
call_verification_status	string              	                    
order_item_service_profile	string              	                    
order_item_is_duplicate	int                 	                    
order_item_internal_sla	int                 	                    
order_item_sku      	string              	                    
order_item_verification_un_hold_max_date_key	int                 	                    
order_item_un_hold_date_key	int                 	                    
order_item_unit_ship_date_key	int                 	                    
order_item_approve_time_key	int                 	                    
order_item_sales_reporting_date_key	int                 	                    
order_item_unit_request_courier_return_date_key	int                 	                    
order_item_non_verification_on_hold_time_key	int                 	                    
order_item_un_hold_max_date_key	int                 	                    
order_item_unit_confirm_time_key	int                 	                    
order_item_non_verification_on_hold_max_time_key	int                 	                    
order_item_unit_cancel_date_key	int                 	                    
order_item_unit_cancel_time_key	int                 	                    
order_item_un_hold_time_key	int                 	                    
order_item_non_verification_un_hold_max_date_key	int                 	                    
order_item_verification_on_hold_max_date_key	int                 	                    
order_item_unit_dispatch_date_key	int                 	                    
order_item_unit_dispatch_time_key	int                 	                    
order_billing_address_id_key	bigint              	                    
order_item_unit_cancel_customer_return_time_key	int                 	                    
order_item_verification_un_hold_time_key	int                 	                    
order_item_verification_un_hold_date_key	int                 	                    
order_item_listing_id_key	bigint              	                    
